% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.211	1	1	22	2	2	28	9422	0	0
0.213	1	1	22	4	2	28	9422	0	0
0.215	1	1	22	6	2	28	9422	0	0
0.217	1	1	22	8	2	28	9422	0	0
0.22	1	1	23	1	2	28	9422	0	0
0.222	1	1	23	3	2	28	9422	0	0
0.224	1	1	23	5	2	28	9422	0	0
0.226	1	1	23	7	2	28	9422	0	0
0.229	1	1	23	10	2	28	9422	0	0
0.231	1	1	24	2	2	28	9422	0	0
0.233	1	1	24	4	2	28	9422	0	0
0.235	1	1	24	6	2	28	9422	0	0
0.238	1	1	24	9	2	28	9422	0	0
0.24	1	1	25	1	2	28	9422	0	0
0.242	1	1	25	3	2	28	9422	0	0
0.244	1	1	25	5	2	28	9422	0	0
0.247	1	1	25	8	2	28	9422	0	0
0.249	1	1	25	10	2	28	9422	0	0
0.251	1	1	26	2	2	28	9422	0	0
0.253	1	1	26	4	2	28	9422	0	0
0.256	1	1	26	7	2	28	9422	0	0
0.258	1	1	26	9	2	28	9422	0	0
0.26	1	1	27	1	2	28	9422	0	0
0.262	1	1	27	3	2	28	9422	0	0
0.264	1	1	27	5	2	28	9422	0	0
0.267	1	1	27	8	2	28	9422	0	0
0.269	1	1	27	10	2	28	9422	0	0
0.271	1	1	28	2	2	28	9422	0	0
0.273	1	1	28	4	2	28	9422	0	0
0.276	1	1	28	7	2	28	9422	0	0
0.278	1	1	28	9	2	28	9422	0	0
0.28	1	1	29	1	2	28	9422	0	0
0.282	1	1	29	3	2	28	9422	0	0
0.285	1	1	29	6	2	28	9422	0	0
0.287	1	1	29	8	2	28	9422	0	0
0.289	1	1	29	10	2	28	9422	0	0
0.291	1	1	30	2	2	28	9422	0	0
0.294	1	1	30	5	2	28	9422	0	0
0.296	1	1	30	7	2	28	9422	0	0
0.298	1	1	30	9	2	28	9422	0	0
0.3	1	1	31	1	2	28	9422	0	0
0.303	1	1	31	4	2	28	9422	0	0
0.305	1	1	31	6	2	28	9422	0	0
0.307	1	1	31	8	2	28	9422	0	0
0.309	1	1	31	10	2	28	9422	0	0
0.312	1	2	32	3	1	28	9422	0	0
0.313	1	1	32	4	2	28	9422	0	0
0.314	1	2	32	5	1	28	9422	0	0
0.315	1	1	32	6	2	28	9422	0	0
0.316	1	1	32	7	2	28	9422	0	0
0.317	1	2	32	8	1	28	9422	0	0
0.318	1	1	32	9	2	28	9422	0	0
0.319	1	2	32	10	1	28	9422	0	0
0.32	1	1	33	1	2	28	9422	0	0
0.321	1	2	33	2	1	28	9422	0	0
0.323	1	2	33	4	1	28	9422	0	0
0.324	1	1	33	5	2	28	9422	0	0
0.325	1	1	33	6	2	28	9422	0	0
0.326	1	2	33	7	1	28	9422	0	0
0.327	1	1	33	8	2	28	9422	0	0
0.328	1	2	33	9	1	28	9422	0	0
0.329	1	1	33	10	2	28	9422	0	0
0.33	1	2	34	1	1	28	9422	0	0
0.332	1	2	34	3	1	28	9422	0	0
0.333	1	1	34	4	2	28	9422	0	0
0.334	1	1	34	5	2	28	9422	0	0
0.335	1	2	34	6	1	28	9422	0	0
0.336	1	1	34	7	2	28	9422	0	0
0.337	1	2	34	8	1	28	9422	0	0
0.338	1	1	34	9	2	28	9422	0	0
0.339	1	2	34	10	1	28	9422	0	0
0.341	1	2	35	2	1	28	9422	0	0
0.342	1	1	35	3	2	28	9422	0	0
0.343	1	1	35	4	2	28	9422	0	0
0.344	1	2	35	5	1	28	9422	0	0
0.345	1	1	35	6	2	28	9422	0	0
0.346	1	2	35	7	1	28	9422	0	0
0.347	1	1	35	8	2	28	9422	0	0
0.348	1	2	35	9	1	28	9422	0	0
0.35	1	2	36	1	1	28	9422	0	0
0.351	1	1	36	2	2	28	9422	0	0
0.352	1	2	36	3	1	28	9422	0	0
0.353	1	1	36	4	2	28	9422	0	0
0.354	1	1	36	5	2	28	9422	0	0
0.355	1	2	36	6	1	28	9422	0	0
0.356	1	1	36	7	2	28	9422	0	0
0.357	1	2	36	8	1	28	9422	0	0
0.359	1	2	36	10	1	28	9422	0	0
0.36	1	1	37	1	2	28	9422	0	0
0.361	1	2	37	2	1	28	9422	0	0
0.362	1	1	37	3	2	28	9422	0	0
0.363	1	1	37	4	2	28	9422	0	0
0.364	1	2	37	5	1	28	9422	0	0
0.365	1	1	37	6	2	28	9422	0	0
0.366	1	2	37	7	1	28	9422	0	0
0.368	1	2	37	9	1	28	9422	0	0
0.369	1	1	37	10	2	28	9422	0	0
0.37	1	2	38	1	1	28	9422	0	0
0.371	1	1	38	2	2	28	9422	0	0
0.372	1	1	38	3	2	28	9422	0	0
0.373	1	2	38	4	1	28	9422	0	0
0.374	1	1	38	5	2	28	9422	0	0
0.375	1	2	38	6	1	28	9422	0	0
0.376	1	1	38	7	2	28	9422	0	0
0.377	1	2	38	8	1	28	9422	0	0
0.379	1	2	38	10	1	28	9422	0	0
0.38	1	1	39	1	2	28	9422	0	0
0.381	1	1	39	2	2	28	9422	0	0
0.382	1	2	39	3	1	28	9422	0	0
0.383	1	1	39	4	2	28	9422	0	0
0.384	1	2	39	5	1	28	9422	0	0
0.385	1	1	39	6	2	28	9422	0	0
0.386	1	2	39	7	1	28	9422	0	0
0.388	1	2	39	9	1	28	9422	0	0
0.389	1	1	39	10	2	28	9422	0	0
0.39	1	1	40	1	2	28	9422	0	0
0.391	1	2	40	2	1	28	9422	0	0
0.392	1	1	40	3	2	28	9422	0	0
0.393	1	2	40	4	1	28	9422	0	0
0.394	1	1	40	5	2	28	9422	0	0
0.395	1	2	40	6	1	28	9422	0	0
0.397	1	2	40	8	1	28	9422	0	0
0.398	1	1	40	9	2	28	9422	0	0
0.399	1	1	40	10	2	28	9422	0	0
0.4	1	2	41	1	1	28	9422	0	0
0.401	1	1	41	2	2	28	9422	0	0
0.402	1	2	41	3	1	28	9422	0	0
0.403	1	1	41	4	2	28	9422	0	0
0.404	1	2	41	5	1	28	9422	0	0
0.406	1	2	41	7	1	28	9422	0	0
0.407	1	1	41	8	2	28	9422	0	0
0.408	1	2	41	9	1	28	9422	0	0
0.409	1	1	41	10	2	28	9422	0	0
0.41	1	1	42	1	2	28	9422	0	0
0.411	1	2	42	2	1	28	9422	0	0
0.412	1	1	42	3	2	28	9422	0	0
0.413	1	2	42	4	1	28	9422	0	0
0.415	1	2	42	6	1	28	9422	0	0
0.416	1	1	42	7	2	28	9422	0	0
0.417	1	2	42	8	1	28	9422	0	0
0.418	1	1	42	9	2	28	9422	0	0
0.419	1	1	42	10	2	28	9422	0	0
0.42	1	2	43	1	1	28	9422	0	0
0.421	1	1	43	2	2	28	9422	0	0
0.422	1	2	43	3	1	28	9422	0	0
0.424	1	2	43	5	1	28	9422	0	0
0.425	1	1	43	6	2	28	9422	0	0
0.426	1	2	43	7	1	28	9422	0	0
0.427	1	1	43	8	2	28	9422	0	0
0.428	1	1	43	9	2	28	9422	0	0
0.429	1	2	43	10	1	28	9422	0	0
0.43	1	1	44	1	2	28	9422	0	0
0.431	1	2	44	2	1	28	9422	0	0
0.432	1	1	44	3	2	28	9422	0	0
0.433	1	2	44	4	1	28	9422	0	0
0.435	1	2	44	6	1	28	9422	0	0
0.436	1	1	44	7	2	28	9422	0	0
0.437	1	1	44	8	2	28	9422	0	0
0.438	1	2	44	9	1	28	9422	0	0
0.439	1	1	44	10	2	28	9422	0	0
0.44	1	2	45	1	1	28	9422	0	0
0.441	1	1	45	2	2	28	9422	0	0
0.442	1	2	45	3	1	28	9422	0	0
0.444	1	2	45	5	1	28	9422	0	0
0.445	1	1	45	6	2	28	9422	0	0
0.446	1	1	45	7	2	28	9422	0	0
0.447	1	2	45	8	1	28	9422	0	0
0.448	1	1	45	9	2	28	9422	0	0
0.449	1	2	45	10	1	28	9422	0	0
0.45	1	1	46	1	2	28	9422	0	0
0.451	1	2	46	2	1	28	9422	0	0
0.453	1	2	46	4	1	28	9422	0	0
0.454	1	1	46	5	2	28	9422	0	0
0.455	1	1	46	6	2	28	9422	0	0
0.456	1	2	46	7	1	28	9422	0	0
0.457	1	1	46	8	2	28	9422	0	0
0.458	1	2	46	9	1	28	9422	0	0
0.459	1	1	46	10	2	28	9422	0	0
0.46	1	2	47	1	1	28	9422	0	0
0.462	1	2	47	3	1	28	9422	0	0
0.463	1	1	47	4	2	28	9422	0	0
0.464	1	2	47	5	1	28	9422	0	0
0.465	1	1	47	6	2	28	9422	0	0
0.466	1	1	47	7	2	28	9422	0	0
0.467	1	2	47	8	1	28	9422	0	0
0.468	1	1	47	9	2	28	9422	0	0
0.469	1	2	47	10	1	28	9422	0	0
0.471	1	2	48	2	1	28	9422	0	0
0.472	1	1	48	3	2	28	9422	0	0
0.473	1	2	48	4	1	28	9422	0	0
0.474	1	1	48	5	2	28	9422	0	0
0.475	1	1	48	6	2	28	9422	0	0
0.476	1	2	48	7	1	28	9422	0	0
0.477	1	1	48	8	2	28	9422	0	0
0.478	1	2	48	9	1	28	9422	0	0
0.48	1	2	49	1	1	28	9422	0	0
0.481	1	1	49	2	2	28	9422	0	0
0.482	1	2	49	3	1	28	9422	0	0
0.483	1	1	49	4	2	28	9422	0	0
0.484	1	1	49	5	2	28	9422	0	0
0.485	1	2	49	6	1	28	9422	0	0
0.486	1	1	49	7	2	28	9422	0	0
0.487	1	2	49	8	1	28	9422	0	0
0.488	1	1	49	9	2	28	9422	0	0
0.489	1	2	49	10	1	28	9422	0	0
0.491	1	2	50	2	1	28	9422	0	0
0.492	1	1	50	3	2	28	9422	0	0
0.493	1	1	50	4	2	28	9422	0	0
0.494	1	2	50	5	1	28	9422	0	0
0.495	1	1	50	6	2	28	9422	0	0
0.496	1	2	50	7	1	28	9422	0	0
0.497	1	1	50	8	2	28	9422	0	0
0.498	1	2	50	9	1	28	9422	0	0
0.5	1	2	51	1	1	28	9422	0	0
0.501	1	1	51	2	2	28	9422	0	0
0.502	1	1	51	3	2	28	9422	0	0
0.503	1	2	51	4	1	28	9422	0	0
0.504	1	1	51	5	2	28	9422	0	0
0.505	1	2	51	6	1	28	9422	0	0
0.506	1	1	51	7	2	28	9422	0	0
0.507	1	2	51	8	1	28	9422	0	0
0.509	1	2	51	10	1	28	9422	0	0
0.51	1	1	52	1	2	28	9422	0	0
0.511	1	1	52	2	2	28	9422	0	0
0.512	1	2	52	3	1	28	9422	0	0
0.513	1	1	52	4	2	28	9422	0	0
0.514	1	2	52	5	1	28	9422	0	0
0.515	1	1	52	6	2	28	9422	0	0
0.516	1	2	52	7	1	28	9422	0	0
0.518	1	2	52	9	1	28	9422	0	0
0.519	1	1	52	10	2	28	9422	0	0
0.52	1	2	53	1	1	28	9422	0	0
0.521	1	1	53	2	2	28	9422	0	0
0.522	1	1	53	3	2	28	9422	0	0
0.523	1	2	53	4	1	28	9422	0	0
0.524	1	1	53	5	2	28	9422	0	0
0.525	1	2	53	6	1	28	9422	0	0
0.527	1	2	53	8	1	28	9422	0	0
0.528	1	1	53	9	2	28	9422	0	0
0.529	1	2	53	10	1	28	9422	0	0
0.53	1	1	54	1	2	28	9422	0	0
0.531	1	1	54	2	2	28	9422	0	0
0.532	1	2	54	3	1	28	9422	0	0
0.533	1	1	54	4	2	28	9422	0	0
0.534	1	2	54	5	1	28	9422	0	0
0.536	1	2	54	7	1	28	9422	0	0
0.537	1	1	54	8	2	28	9422	0	0
0.538	1	2	54	9	1	28	9422	0	0
0.539	1	1	54	10	2	28	9422	0	0
0.54	1	1	55	1	2	28	9422	0	0
0.541	1	2	55	2	1	28	9422	0	0
0.542	1	1	55	3	2	28	9422	0	0
0.543	1	2	55	4	1	28	9422	0	0
0.544	1	1	55	5	2	28	9422	0	0
0.545	1	2	55	6	1	28	9422	0	0
0.547	1	2	55	8	1	28	9422	0	0
0.548	1	1	55	9	2	28	9422	0	0
0.549	1	1	55	10	2	28	9422	0	0
0.55	1	2	56	1	1	28	9422	0	0
0.551	1	1	56	2	2	28	9422	0	0
0.552	1	2	56	3	1	28	9422	0	0
0.553	1	1	56	4	2	28	9422	0	0
0.554	1	2	56	5	1	28	9422	0	0
0.556	1	2	56	7	1	28	9422	0	0
0.557	1	1	56	8	2	28	9422	0	0
0.558	1	1	56	9	2	28	9422	0	0
0.559	1	2	56	10	1	28	9422	0	0
0.56	1	1	57	1	2	28	9422	0	0
0.561	1	2	57	2	1	28	9422	0	0
0.562	1	1	57	3	2	28	9422	0	0
0.563	1	2	57	4	1	28	9422	0	0
0.565	1	2	57	6	1	28	9422	0	0
0.566	1	1	57	7	2	28	9422	0	0
0.567	1	1	57	8	2	28	9422	0	0
0.568	1	2	57	9	1	28	9422	0	0
0.569	1	1	57	10	2	28	9422	0	0
0.57	1	2	58	1	1	28	9422	0	0
0.571	1	1	58	2	2	28	9422	0	0
0.572	1	2	58	3	1	28	9422	0	0
0.574	1	2	58	5	1	28	9422	0	0
0.575	1	1	58	6	2	28	9422	0	0
0.576	1	2	58	7	1	28	9422	0	0
0.577	1	1	58	8	2	28	9422	0	0
0.578	1	1	58	9	2	28	9422	0	0
0.579	1	2	58	10	1	28	9422	0	0
0.58	1	1	59	1	2	28	9422	0	0
0.581	1	2	59	2	1	28	9422	0	0
0.583	1	2	59	4	1	28	9422	0	0
0.584	1	1	59	5	2	28	9422	0	0
0.585	1	2	59	6	1	28	9422	0	0
0.586	1	1	59	7	2	28	9422	0	0
0.587	1	1	59	8	2	28	9422	0	0
0.588	1	2	59	9	1	28	9422	0	0
0.589	1	1	59	10	2	28	9422	0	0
0.59	1	2	60	1	1	28	9422	0	0
0.592	1	2	60	3	1	28	9422	0	0
0.593	1	1	60	4	2	28	9422	0	0
0.594	1	2	60	5	1	28	9422	0	0
0.595	1	1	60	6	2	28	9422	0	0
0.596	1	1	60	7	2	28	9422	0	0
0.597	1	2	60	8	1	28	9422	0	0
0.598	1	1	60	9	2	28	9422	0	0
0.599	1	2	60	10	1	28	9422	0	0
0.6	1	1	61	1	2	28	9422	0	0
0.601	1	2	61	2	1	28	9422	0	0
0.603	1	2	61	4	1	28	9422	0	0
0.604	1	1	61	5	2	28	9422	0	0
0.605	1	1	61	6	2	28	9422	0	0
0.606	1	2	61	7	1	28	9422	0	0
0.607	1	1	61	8	2	28	9422	0	0
0.608	1	2	61	9	1	28	9422	0	0
0.609	1	1	61	10	2	28	9422	0	0
0.61	1	2	62	1	1	28	9422	0	0
0.612	1	2	62	3	1	28	9422	0	0
0.613	1	1	62	4	2	28	9422	0	0
0.614	1	1	62	5	2	28	9422	0	0
0.615	1	2	62	6	1	28	9422	0	0
0.616	1	1	62	7	2	28	9422	0	0
0.617	1	2	62	8	1	28	9422	0	0
0.618	1	1	62	9	2	28	9422	0	0
0.619	1	2	62	10	1	28	9422	0	0
0.621	1	2	63	2	1	28	9422	0	0
0.622	1	1	63	3	2	28	9422	0	0
0.623	1	1	63	4	2	28	9422	0	0
0.624	1	2	63	5	1	28	9422	0	0
0.625	1	1	63	6	2	28	9422	0	0
0.626	1	2	63	7	1	28	9422	0	0
0.627	1	1	63	8	2	28	9422	0	0
0.628	1	2	63	9	1	28	9422	0	0
0.63	1	2	64	1	1	28	9422	0	0
0.631	1	1	64	2	2	28	9422	0	0
0.632	1	2	64	3	1	28	9422	0	0
0.633	1	1	64	4	2	28	9422	0	0
0.634	1	1	64	5	2	28	9422	0	0
0.635	1	2	64	6	1	28	9422	0	0
0.636	1	1	64	7	2	28	9422	0	0
0.637	1	2	64	8	1	28	9422	0	0
0.639	1	2	64	10	1	28	9422	0	0
0.64	1	1	65	1	2	28	9422	0	0
0.641	1	2	65	2	1	28	9422	0	0
0.642	1	1	65	3	2	28	9422	0	0
0.643	1	1	65	4	2	28	9422	0	0
0.644	1	2	65	5	1	28	9422	0	0
0.645	1	1	65	6	2	28	9422	0	0
0.646	1	2	65	7	1	28	9422	0	0
0.648	1	2	65	9	1	28	9422	0	0
0.649	1	1	65	10	2	28	9422	0	0
0.65	1	2	66	1	1	28	9422	0	0
0.651	1	1	66	2	2	28	9422	0	0
0.652	1	1	66	3	2	28	9422	0	0
0.653	1	2	66	4	1	28	9422	0	0
0.654	1	1	66	5	2	28	9422	0	0
0.655	1	2	66	6	1	28	9422	0	0
0.656	1	1	66	7	2	28	9422	0	0
0.657	1	2	66	8	1	28	9422	0	0
0.659	1	2	66	10	1	28	9422	0	0
0.66	1	1	67	1	2	28	9422	0	0
0.661	1	1	67	2	2	28	9422	0	0
0.662	1	2	67	3	1	28	9422	0	0
0.663	1	1	67	4	2	28	9422	0	0
0.664	1	2	67	5	1	28	9422	0	0
0.665	1	1	67	6	2	28	9422	0	0
0.666	1	2	67	7	1	28	9422	0	0
0.668	1	2	67	9	1	28	9422	0	0
0.669	1	1	67	10	2	28	9422	0	0
0.67	1	1	68	1	2	28	9422	0	0
0.671	1	2	68	2	1	28	9422	0	0
0.672	1	1	68	3	2	28	9422	0	0
0.673	1	2	68	4	1	28	9422	0	0
0.674	1	1	68	5	2	28	9422	0	0
0.675	1	2	68	6	1	28	9422	0	0
0.677	1	2	68	8	1	28	9422	0	0
0.678	1	1	68	9	2	28	9422	0	0
0.679	1	1	68	10	2	28	9422	0	0
0.68	1	2	69	1	1	28	9422	0	0
0.681	1	1	69	2	2	28	9422	0	0
0.682	1	2	69	3	1	28	9422	0	0
0.683	1	1	69	4	2	28	9422	0	0
0.684	1	2	69	5	1	28	9422	0	0
0.686	1	2	69	7	1	28	9422	0	0
0.687	1	1	69	8	2	28	9422	0	0
0.688	1	2	69	9	1	28	9422	0	0
0.689	1	1	69	10	2	28	9422	0	0
0.69	1	1	70	1	2	28	9422	0	0
0.691	1	2	70	2	1	28	9422	0	0
0.692	1	1	70	3	2	28	9422	0	0
0.693	1	2	70	4	1	28	9422	0	0
0.695	1	2	70	6	1	28	9422	0	0
0.696	1	1	70	7	2	28	9422	0	0
0.697	1	2	70	8	1	28	9422	0	0
0.698	1	1	70	9	2	28	9422	0	0
0.699	1	1	70	10	2	28	9422	0	0
0.7	1	2	71	1	1	28	9422	0	0
0.701	1	1	71	2	2	28	9422	0	0
0.702	1	2	71	3	1	28	9422	0	0
0.704	1	2	71	5	1	28	9422	0	0
0.705	1	1	71	6	2	28	9422	0	0
0.706	1	2	71	7	1	28	9422	0	0
0.707	1	1	71	8	2	28	9422	0	0
0.708	1	1	71	9	2	28	9422	0	0
0.709	1	2	71	10	1	28	9422	0	0
0.71	1	1	72	1	2	28	9422	0	0
0.711	1	2	72	2	1	28	9422	0	0
0.712	1	1	72	3	2	28	9422	0	0
0.713	1	2	72	4	1	28	9422	0	0
0.715	1	2	72	6	1	28	9422	0	0
0.716	1	1	72	7	2	28	9422	0	0
0.717	1	1	72	8	2	28	9422	0	0
0.718	1	2	72	9	1	28	9422	0	0
0.719	1	1	72	10	2	28	9422	0	0
0.72	1	2	73	1	1	28	9422	0	0
0.721	1	1	73	2	2	28	9422	0	0
0.722	1	2	73	3	1	28	9422	0	0
0.724	1	2	73	5	1	28	9422	0	0
0.725	1	1	73	6	2	28	9422	0	0
0.726	1	1	73	7	2	28	9422	0	0
0.727	1	2	73	8	1	28	9422	0	0
0.728	1	1	73	9	2	28	9422	0	0
0.729	1	2	73	10	1	28	9422	0	0
0.73	1	1	74	1	2	28	9422	0	0
0.731	1	2	74	2	1	28	9422	0	0
0.733	1	2	74	4	1	28	9422	0	0
0.734	1	1	74	5	2	28	9422	0	0
0.735	1	1	74	6	2	28	9422	0	0
0.736	1	2	74	7	1	28	9422	0	0
0.737	1	1	74	8	2	28	9422	0	0
0.738	1	2	74	9	1	28	9422	0	0
0.739	1	1	74	10	2	28	9422	0	0
0.74	1	2	75	1	1	28	9422	0	0
0.742	1	2	75	3	1	28	9422	0	0
0.743	1	1	75	4	2	28	9422	0	0
0.744	1	2	75	5	1	28	9422	0	0
0.745	1	1	75	6	2	28	9422	0	0
0.746	1	1	75	7	2	28	9422	0	0
0.747	1	2	75	8	1	28	9422	0	0
0.748	1	1	75	9	2	28	9422	0	0
0.749	1	2	75	10	1	28	9422	0	0
0.751	1	2	76	2	1	28	9422	0	0
0.752	1	1	76	3	2	28	9422	0	0
0.753	1	2	76	4	1	28	9422	0	0
0.754	1	1	76	5	2	28	9422	0	0
0.755	1	1	76	6	2	28	9422	0	0
0.756	1	2	76	7	1	28	9422	0	0
0.757	1	1	76	8	2	28	9422	0	0
0.758	1	2	76	9	1	28	9422	0	0
0.76	1	2	77	1	1	28	9422	0	0
0.761	1	1	77	2	2	28	9422	0	0
0.762	1	2	77	3	1	28	9422	0	0
0.763	1	1	77	4	2	28	9422	0	0
0.764	1	1	77	5	2	28	9422	0	0
0.765	1	2	77	6	1	28	9422	0	0
0.766	1	1	77	7	2	28	9422	0	0
0.767	1	2	77	8	1	28	9422	0	0
0.768	1	1	77	9	2	28	9422	0	0
0.769	1	2	77	10	1	28	9422	0	0
0.771	1	2	78	2	1	28	9422	0	0
0.772	1	1	78	3	2	28	9422	0	0
0.773	1	1	78	4	2	28	9422	0	0
0.774	1	2	78	5	1	28	9422	0	0
0.775	1	1	78	6	2	28	9422	0	0
0.776	1	2	78	7	1	28	9422	0	0
0.777	1	1	78	8	2	28	9422	0	0
0.778	1	2	78	9	1	28	9422	0	0
0.78	1	2	79	1	1	28	9422	0	0
0.781	1	1	79	2	2	28	9422	0	0
0.782	1	1	79	3	2	28	9422	0	0
0.783	1	2	79	4	1	28	9422	0	0
0.784	1	1	79	5	2	28	9422	0	0
0.785	1	2	79	6	1	28	9422	0	0
0.786	1	1	79	7	2	28	9422	0	0
0.787	1	2	79	8	1	28	9422	0	0
0.789	1	2	79	10	1	28	9422	0	0
0.79	1	1	80	1	2	28	9422	0	0
0.791	1	1	80	2	2	28	9422	0	0
0.792	1	2	80	3	1	28	9422	0	0
0.793	1	1	80	4	2	28	9422	0	0
0.794	1	2	80	5	1	28	9422	0	0
0.795	1	1	80	6	2	28	9422	0	0
0.796	1	2	80	7	1	28	9422	0	0
0.798	1	2	80	9	1	28	9422	0	0
0.799	1	1	80	10	2	28	9422	0	0
0.8	1	2	81	1	1	28	9422	0	0
0.801	1	1	81	2	2	28	9422	0	0
0.802	1	1	81	3	2	28	9422	0	0
0.803	1	2	81	4	1	28	9422	0	0
0.804	1	1	81	5	2	28	9422	0	0
0.805	1	2	81	6	1	28	9422	0	0
0.807	1	2	81	8	1	28	9422	0	0
0.808	1	1	81	9	2	28	9422	0	0
0.809	1	2	81	10	1	28	9422	0	0
0.81	1	1	82	1	2	28	9422	0	0
0.811	1	1	82	2	2	28	9422	0	0
0.812	1	2	82	3	1	28	9422	0	0
0.813	1	1	82	4	2	28	9422	0	0
0.814	1	2	82	5	1	28	9422	0	0
0.816	1	2	82	7	1	28	9422	0	0
0.817	1	1	82	8	2	28	9422	0	0
0.818	1	2	82	9	1	28	9422	0	0
0.819	1	1	82	10	2	28	9422	0	0
0.82	1	1	83	1	2	28	9422	0	0
0.821	1	2	83	2	1	28	9422	0	0
0.822	1	1	83	3	2	28	9422	0	0
0.823	1	2	83	4	1	28	9422	0	0
0.824	1	1	83	5	2	28	9422	0	0
0.825	1	2	83	6	1	28	9422	0	0
0.827	1	2	83	8	1	28	9422	0	0
0.828	1	1	83	9	2	28	9422	0	0
0.829	1	1	83	10	2	28	9422	0	0
0.83	1	2	84	1	1	28	9422	0	0
0.831	1	1	84	2	2	28	9422	0	0
0.832	1	2	84	3	1	28	9422	0	0
0.833	1	1	84	4	2	28	9422	0	0
0.834	1	2	84	5	1	28	9422	0	0
0.836	1	2	84	7	1	28	9422	0	0
0.837	1	1	84	8	2	28	9422	0	0
0.838	1	1	84	9	2	28	9422	0	0
0.839	1	2	84	10	1	28	9422	0	0
0.84	1	1	85	1	2	28	9422	0	0
0.841	1	2	85	2	1	28	9422	0	0
0.842	1	1	85	3	2	28	9422	0	0
0.843	1	2	85	4	1	28	9422	0	0
0.845	1	2	85	6	1	28	9422	0	0
0.846	1	1	85	7	2	28	9422	0	0
0.847	1	1	85	8	2	28	9422	0	0
0.848	1	2	85	9	1	28	9422	0	0
0.849	1	1	85	10	2	28	9422	0	0
0.85	1	2	86	1	1	28	9422	0	0
0.851	1	1	86	2	2	28	9422	0	0
0.852	1	2	86	3	1	28	9422	0	0
0.854	1	2	86	5	1	28	9422	0	0
0.855	1	1	86	6	2	28	9422	0	0
0.856	1	2	86	7	1	28	9422	0	0
0.857	1	1	86	8	2	28	9422	0	0
0.858	1	1	86	9	2	28	9422	0	0
0.859	1	2	86	10	1	28	9422	0	0
0.86	1	1	87	1	2	28	9422	0	0
0.861	1	2	87	2	1	28	9422	0	0
0.863	1	2	87	4	1	28	9422	0	0
0.864	1	1	87	5	2	28	9422	0	0
0.865	1	2	87	6	1	28	9422	0	0
0.866	1	1	87	7	2	28	9422	0	0
0.867	1	1	87	8	2	28	9422	0	0
0.868	1	2	87	9	1	28	9422	0	0
0.869	1	1	87	10	2	28	9422	0	0
0.87	1	2	88	1	1	28	9422	0	0
0.872	1	2	88	3	1	28	9422	0	0
0.873	1	1	88	4	2	28	9422	0	0
0.874	1	2	88	5	1	28	9422	0	0
0.875	1	1	88	6	2	28	9422	0	0
0.876	1	1	88	7	2	28	9422	0	0
0.877	1	2	88	8	1	28	9422	0	0
0.878	1	1	88	9	2	28	9422	0	0
0.879	1	2	88	10	1	28	9422	0	0
0.88	1	1	89	1	2	28	9422	0	0
0.881	1	2	89	2	1	28	9422	0	0
0.883	1	1	89	4	2	28	9422	0	0
0.884	1	2	89	5	1	28	9422	0	0
0.885	1	1	89	6	2	28	9422	0	0
0.886	1	2	89	7	1	28	9422	0	0
0.887	1	1	89	8	2	28	9422	0	0
0.888	1	2	89	9	1	28	9422	0	0
0.889	1	1	89	10	2	28	9422	0	0
0.89	1	2	90	1	1	28	9422	0	0
